doc_type_name	doc_id	year	lang_code
gazettes	2025-04-04-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-04-04-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-04-04-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-06-20-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-06-20-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-03-28-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-03-28-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-03-28-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-05-16-iv-a-provincial-councils	2025	si
gazettes	2025-05-16-iv-a-provincial-councils	2025	ta
gazettes	2025-05-16-iv-a-provincial-councils	2025	en
gazettes	2025-07-04-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-07-04-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-05-23-iia-advertising	2025	si
gazettes	2025-05-23-iia-advertising	2025	ta
gazettes	2025-05-23-iia-advertising	2025	en
gazettes	2025-02-14-legal-section	2025	si
gazettes	2025-05-23-iib-advertising	2025	si
gazettes	2025-05-23-iib-advertising	2025	ta
gazettes	2025-05-23-iib-advertising	2025	en
gazettes	2025-06-20-legal-section	2025	si
gazettes	2025-06-20-legal-section	2025	ta
gazettes	2025-06-20-legal-section	2025	en
gazettes	2025-02-07-iia-advertising	2025	si
gazettes	2025-02-07-iia-advertising	2025	ta
gazettes	2025-02-07-iia-advertising	2025	en
gazettes	2025-05-16-iia-advertising	2025	si
gazettes	2025-05-16-iia-advertising	2025	ta
gazettes	2025-05-16-iia-advertising	2025	en
gazettes	2025-05-02-land-section	2025	si
gazettes	2025-05-02-land-section	2025	en
gazettes	2025-06-13-iv-b-local-government	2025	si
gazettes	2025-06-13-iv-b-local-government	2025	en
gazettes	2025-04-04-iv-b-local-government	2025	si
gazettes	2025-04-04-iv-b-local-government	2025	ta
gazettes	2025-04-04-iv-b-local-government	2025	en
gazettes	2025-03-07-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-03-07-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-03-07-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-02-28-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-02-28-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-02-28-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-04-25-i-general	2025	si
gazettes	2025-04-25-i-general	2025	ta
gazettes	2025-04-25-i-general	2025	en
gazettes	2025-06-13-land-section	2025	si
gazettes	2025-06-13-land-section	2025	en
gazettes	2025-02-28-iib-advertising	2025	si
gazettes	2025-02-28-iib-advertising	2025	ta
gazettes	2025-02-28-iib-advertising	2025	en
gazettes	2025-03-28-land-section	2025	si
gazettes	2025-03-28-land-section	2025	ta
gazettes	2025-03-28-land-section	2025	en
gazettes	2025-04-04-i-general	2025	si
gazettes	2025-04-04-i-general	2025	ta
gazettes	2025-04-04-i-general	2025	en
gazettes	2025-03-14-land-section	2025	si
gazettes	2025-03-14-land-section	2025	ta
gazettes	2025-03-14-land-section	2025	en
gazettes	2025-06-06-iib-advertising	2025	si
gazettes	2025-06-06-iib-advertising	2025	ta
gazettes	2025-06-06-iib-advertising	2025	en
gazettes	2025-03-07-legal-section	2025	si
gazettes	2025-03-07-legal-section	2025	ta
gazettes	2025-03-07-legal-section	2025	en
gazettes	2025-07-04-legal-section	2025	si
gazettes	2025-07-04-legal-section	2025	en
gazettes	2025-04-18-land-section	2025	si
gazettes	2025-04-18-land-section	2025	ta
gazettes	2025-04-18-land-section	2025	en
gazettes	2025-05-23-iv-b-local-government	2025	si
gazettes	2025-05-23-iv-b-local-government	2025	ta
gazettes	2025-05-23-iv-b-local-government	2025	en
gazettes	2025-02-21-land-section	2025	si
gazettes	2025-02-21-land-section	2025	ta
gazettes	2025-02-21-land-section	2025	en
gazettes	2025-06-20-land-section	2025	si
gazettes	2025-06-20-land-section	2025	en
gazettes	2025-05-02-iib-advertising	2025	si
gazettes	2025-05-02-iib-advertising	2025	ta
gazettes	2025-05-02-iib-advertising	2025	en
gazettes	2025-04-25-iii-trade-marks-and-patent-notices	2025	si
gazettes	2025-04-25-iii-trade-marks-and-patent-notices	2025	ta
gazettes	2025-04-25-iii-trade-marks-and-patent-notices	2025	en
gazettes	2025-05-02-iv-b-local-government	2025	si
gazettes	2025-05-02-iv-b-local-government	2025	en
gazettes	2025-03-28-i-general	2025	si
gazettes	2025-03-28-i-general	2025	ta
gazettes	2025-03-28-i-general	2025	en
gazettes	2025-04-25-iia-advertising	2025	si
gazettes	2025-04-25-iia-advertising	2025	ta
gazettes	2025-04-25-iia-advertising	2025	en
gazettes	2025-02-21-legal-section	2025	si
gazettes	2025-02-21-iv-b-local-government	2025	si
gazettes	2025-02-21-iv-b-local-government	2025	ta
gazettes	2025-02-21-iv-b-local-government	2025	en
gazettes	2025-05-16-i-general	2025	si
gazettes	2025-05-16-i-general	2025	ta
